iter	Passed	Remaining
803	3484	849
804	3488	845
805	3494	841
806	3501	837
807	3506	833
808	3510	828
809	3517	825
810	3522	820
811	3529	817
812	3535	813
813	3539	808
814	3547	805
815	3552	801
816	3557	796
817	3565	793
818	3572	789
819	3576	785
820	3581	780
821	3589	777
822	3595	773
823	3599	768
824	3605	764
825	3611	760
826	3617	756
827	3622	752
828	3629	748
829	3634	744
830	3643	740
831	3648	736
832	3662	734
833	3666	729
834	3672	725
835	3676	721
836	3680	716
837	3684	712
838	3689	707
839	3693	703
840	3696	698
841	3700	694
842	3704	689
843	3709	685
844	3713	681
845	3718	676
846	3722	672
847	3725	667
848	3729	663
849	3733	658
850	3737	654
851	3741	649
852	3744	645
853	3748	640
854	3752	636
855	3756	631
856	3759	627
857	3763	622
858	3767	618
859	3771	613
860	3774	609
861	3778	604
862	3782	600
863	3786	596
864	3790	591
865	3793	587
866	3798	582
867	3803	578
868	3807	573
869	3811	569
870	3815	565
871	3819	560
872	3823	556
873	3827	551
874	3831	547
875	3834	542
876	3838	538
877	3842	533
878	3846	529
879	3849	524
880	3853	520
881	3856	516
882	3860	511
883	3864	507
884	3867	502
885	3871	498
886	3875	493
887	3879	489
888	3883	484
889	3888	480
890	3893	476
891	3898	471
892	3903	467
893	3907	463
894	3913	459
895	3918	454
896	3937	452
897	3945	448
898	3954	444
899	3997	444
900	4008	440
901	4018	436
902	4027	432
903	4038	428
904	4047	424
905	4056	420
906	4066	416
907	4074	412
908	4080	408
909	4086	404
910	4092	399
911	4110	396
912	4121	392
913	4130	388
914	4136	384
915	4142	379
916	4147	375
917	4153	371
918	4158	366
919	4164	362
920	4170	357
921	4174	353
922	4178	348
923	4183	344
924	4187	339
925	4190	334
926	4194	330
927	4198	325
928	4203	321
929	4208	316
930	4212	312
931	4218	307
932	4222	303
933	4227	298
934	4231	294
935	4235	289
936	4239	285
937	4242	280
938	4247	275
939	4252	271
940	4257	266
941	4261	262
942	4267	257
943	4272	253
944	4278	248
945	4282	244
946	4287	239
947	4292	235
948	4297	230
949	4302	226
950	4307	221
951	4313	217
952	4317	212
